Original Comment,Cleaned Comment,VADER Sentiment,Hugging Face Sentiment
Hate trump or love trump in that moment your either proud of our former president for showing strength.  Or your not a real American,hate trump love trump moment either proud former president showing strength real american,Positive,NEGATIVE
Bro almost had ultra intsinct,bro almost ultra intsinct,Neutral,NEGATIVE
I dont believe it was all bullet shots sounded like clapping,dont believe bullet shots sounded like clapping,Positive,NEGATIVE
It’s absolutely crazy !!! What I cannot understand is why the supporters behind Trump were not ducking for cover ?,absolutely crazy understand supporters behind trump ducking cover,Positive,POSITIVE
Bros aim so bad 💀,bros aim bad,Negative,NEGATIVE
Why is YouTube suppressing this?,youtube suppressing,Neutral,NEGATIVE
donald duck!,donald duck,Neutral,POSITIVE
FJB,fjb,Neutral,NEGATIVE
WWE 😂 blood pack,wwe blood pack,Neutral,NEGATIVE
he almost got jfk,almost got jfk,Neutral,POSITIVE
"Chay GPT says: &quot;...if you&#39;re looking to symbolically associate Trump&#39;s injury with a theme of downfall in ancient Greek mythology, one apt parallel could be the story of Icarus, who, in Greek mythology, is known for his tragic downfall. <br>He and his father, Daedalus, attempted to escape from Crete using wings made of feathers and wax. Despite his father&#39;s warnings, Icarus flew too close to the sun, causing the wax in his wings to melt, and he ultimately fell into the sea and drowned. This myth symbolizes hubris and the peril of overreaching ambition. The injury to Trump could be seen as a moment of vulnerability that precedes a greater downfall, much like Icarus&#39;s fall from the sky. This parallel highlights the dangers of excessive pride and the potential consequences of aiming too high without heeding caution.",chay gpt says quotif youre looking symbolically associate trumps injury theme downfall ancient greek mythology one apt parallel could story icarus greek mythology known tragic downfall brhe father daedalus attempted escape crete using wings made feathers wax despite fathers warnings icarus flew close sun causing wax wings melt ultimately fell sea drowned myth symbolizes hubris peril overreaching ambition injury trump could seen moment vulnerability precedes greater downfall much like icaruss fall sky parallel highlights dangers excessive pride potential consequences aiming high without heeding caution,Negative,NEGATIVE
3 spaced out shots (crooks ) followed by 5 succesive shots (law enforcement) why do they say crooks got 8 shots off before gettin taken out? <br>there were 8 shots fired altogether,spaced shots crooks followed succesive shots law enforcement say crooks got shots gettin taken brthere shots fired altogether,Negative,NEGATIVE
My president,president,Neutral,POSITIVE
Just imagine that Donald trump was in jail,imagine donald trump jail,Neutral,NEGATIVE
"Here&#39;s this theory:<br>What if this was all planned by trump himself???? I asked this question myself even if im not American cutizen.<br>&quot;Lets say&quot;: what if he planned or did this shooting himself so that the people&#39;s around there who attended and who supports him would be more agitated and more furious by this event and wouldn&#39;t back down anymore now&#39;&#39;MORE THAN EVER&#39;&#39;and continue supporting him. What really surprised me in this video was even when he got shot he still stood in that stage for a few seconds putting his right hand in the air with ✊✊✊✊ pose...until his bodyguards came running towards him to protect because after he got shot he should be crouching instantly hiding and running away from that stage ASAP! because u dont know and cant see the sniper location if the sniper guy still has kept his aim towards trump or not unless someone took down the sniper guy instantly after he fired the shot..or else there is 100% no chance he could have survived that attack from that sniper guy that also from that short range....the sniper guy could had ended it right there putting just one bullet right in the forehead when he had enough time to aim properly and make a shot because no one noticed him but surprisingly he missed the shot that also from that close range...honestly very hard to believe...but still after getting shot those bodyguards took him down the stage and he was still putting his right hand in the air with ✊✊✊✊ pose while leaving and suddenly once the crowd saw his hand ✊✊✊✊ in the air while leaving the stage protected by those bodyguards and outta nowhere instantly the whole crowd started cheering bringing him more favor and more support towards him because of this shooting event...idk about politics but i know this....once someone get a taste of a real! power they want more power....and after trump became president he has now billions of dollars in his bank..... hundreds of properties in his name... hundreds of buildings in his name till this day....but i dont see biden having billions of dollars and hundreds of Skyscraper buildings in his name...even if he does it not as big as how much trump has in his possession....so he wants now to be president now once again so that he can keep continue earning more millions and billions of dollars, properties, buildings,etc...in his name so that on coming days his future generations could have it all one day and live their lifes in luxury...being a president he should be doing what is best for people&#39;s who are poor,homeless etc helping them and giving them more benefits to those kinds of peoples out there...not earning money sucking from the peoples who work 9-5 ,12-12, 6 days a week low payment jobs civilians who earns just enough amount for their families but NOPE he only wants to earn more millions and billions of dollars to himself thats the only reason he want to be president once more..... because a country which does not have king nor queen.... PRESIDENT is the only one single person who has the right authority and power over everyone!. Maybe their plan was to make it look like life threatening attack...the sniper guy could have thrown grenade in the middle if the crowd if his aim really was just to kill..even if the sniper guy gets captured who should have been dead by now but isnt dead only captured. I am sure they told the sniper guy who shot trump and got captured that they would release him once trump became the president and the whole world wouldnt even know about it...the guy then would get enough money to go somewhere else out of that country and live his life there where no one knows him there!. <b>Ps</b> this is just a theory to win over people&#39;s support and votes to become president once again saying he would make the country great but their plan is only making their own bank balance great because it is very easy to make other believe in your words.",heres theorybrwhat planned trump asked question even im american cutizenbrquotlets sayquot planned shooting peoples around attended supports would agitated furious event wouldnt back anymore nowmore everand continue supporting really surprised video even got shot still stood stage seconds putting right hand air poseuntil bodyguards came running towards protect got shot crouching instantly hiding running away stage asap u dont know cant see sniper location sniper guy still kept aim towards trump unless someone took sniper guy instantly fired shotor else chance could survived attack sniper guy also short rangethe sniper guy could ended right putting one bullet right forehead enough time aim properly make shot one noticed surprisingly missed shot also close rangehonestly hard believebut still getting shot bodyguards took stage still putting right hand air pose leaving suddenly crowd saw hand air leaving stage protected bodyguards outta nowhere instantly whole crowd started cheering bringing favor support towards shooting eventidk politics know thisonce someone get taste real power want powerand trump became president billions dollars bank hundreds properties name hundreds buildings name till daybut dont see biden billions dollars hundreds skyscraper buildings nameeven big much trump possessionso wants president keep continue earning millions billions dollars properties buildingsetcin name coming days future generations could one day live lifes luxurybeing president best peoples poorhomeless etc helping giving benefits kinds peoples therenot earning money sucking peoples work days week low payment jobs civilians earns enough amount families nope wants earn millions billions dollars thats reason want president country king queen president one single person right authority power everyone maybe plan make look like life threatening attackthe sniper guy could thrown grenade middle crowd aim really killeven sniper guy gets captured dead isnt dead captured sure told sniper guy shot trump got captured would release trump became president whole world wouldnt even know itthe guy would get enough money go somewhere else country live life one knows bpsb theory win peoples support votes become president saying would make country great plan making bank balance great easy make believe words,Positive,NEGATIVE
lmao,lmao,Positive,POSITIVE
Ive just noticed that theres a kid dressed up as donald trump lol,ive noticed theres kid dressed donald trump lol,Positive,NEGATIVE
"While the proliferation of guns has led to a surge in gun violence, American politicians have turned a blind eye to it. This is a failure of the government and a failure of the system.",proliferation guns led surge gun violence american politicians turned blind eye failure government failure system,Negative,NEGATIVE
Aggrandizement with a mike pillow brand ear bandage.,aggrandizement mike pillow brand ear bandage,Neutral,NEGATIVE
"American Idol <br><br>Steven Spielberg: That got to be realystic in there. Need more practice many time if want to see it seriously. Anyway good job and good try. Can&#39;t wait to see what is next episode of this drama. Please we need more drama from Hollywood America.",american idol br brsteven spielberg got realystic need practice many time want see seriously anyway good job good try cant wait see next episode drama please need drama hollywood america,Positive,NEGATIVE
மாநாடு part 2,part,Neutral,POSITIVE
The kid didn&#39;t even know what hit em.,kid didnt even know hit em,Neutral,NEGATIVE
Why was everybody aoean to Joe Biden Trump? 😢😢😢,everybody aoean joe biden trump,Neutral,POSITIVE
PHEW HE IS STILL ALIVE BUT NOT LIKE JFK,phew still alive like jfk,Positive,POSITIVE
The guy is f*cking electric,guy fcking electric,Neutral,POSITIVE
We can also hear the gunshot sound.,also hear gunshot sound,Neutral,NEGATIVE
BRO GOT A FREE EAR PIERCING 💀💀💀💀☠️☠️☠️,bro got free ear piercing,Positive,POSITIVE
The US just knows how to create more issues for themselves and they actually think they&#39;re the best country in the world😒,us knows create issues actually think theyre best country world,Positive,POSITIVE
Sad,sad,Negative,NEGATIVE
God saved our great president. God is good and i exault Jesus Christ forever.,god saved great president god good exault jesus christ forever,Positive,POSITIVE
Trump is not dying before gta6 comes out with this one,trump dying gta comes one,Neutral,NEGATIVE
"That is the most shameful thing that can happen to you. Imagine setting up this plan to kill the president, missing and hitting hos right ear, and then being ignored and mocked by the president homself both at the same time!",shameful thing happen imagine setting plan kill president missing hitting hos right ear ignored mocked president homself time,Negative,NEGATIVE
Man I have all respect to the man who saved his family.. I hope he’s watching over his family even from the after life.❤❤❤❤,man respect man saved family hope hes watching family even life,Positive,POSITIVE
damn even that young boy knew there was gunfire going off and ducked for cover thats crazy,damn even young boy knew gunfire going ducked cover thats crazy,Negative,NEGATIVE
That&#39;s my President!!! ...prayers to all!!!,thats president prayers,Neutral,POSITIVE
What if it was planned to get everybody to vote for trump and they just got rid of lose ends,planned get everybody vote trump got rid lose ends,Negative,NEGATIVE
Shit sounded like a bb gun,shit sounded like bb gun,Negative,NEGATIVE
Ballistics experts agree getting anywhere near his ear would have been devastating. He bled profusely due to his poor health and the blood thinners.,ballistics experts agree getting anywhere near ear would devastating bled profusely due poor health blood thinners,Negative,NEGATIVE
he would have die if he didnt look to whiteboard,would die didnt look whiteboard,Negative,NEGATIVE
"It&#39;s not surprising that a man who routinely puts targets on people&#39;s backs is himself targeted. Karma perhaps. Also he did not turn his head as the shot was fired as is reported, he was facing that direction for quite a while. I believe it was staged and he wasn&#39;t supposed to be hit, but things don&#39;t always go as planned. Also the shooter knew that he would be killed in any event so why did he do it? To be honest, a country with the amount of guns in circulation as America is a powder keg",surprising man routinely puts targets peoples backs targeted karma perhaps also turn head shot fired reported facing direction quite believe staged wasnt supposed hit things dont always go planned also shooter knew would killed event honest country amount guns circulation america powder keg,Negative,NEGATIVE
Bro the shooter accuracy is the same as a storm trooper,bro shooter accuracy storm trooper,Neutral,POSITIVE
"#1. Woman in rally stand behind Trump to screen right. Prior to shots held sign up to her chest, did a smirk, turned her head   and nodded. #2 Watertower person was on knees and was a relay to shooter that target was in position. #3 Once SHOTS began she remained seated with no visible concern of what was happening and photos began. Her last touch of the screen was a send button.",woman rally stand behind trump screen right prior shots held sign chest smirk turned head nodded watertower person knees relay shooter target position shots began remained seated visible concern happening photos began last touch screen send button,Neutral,NEGATIVE
Why was there a lady in the back comfortable enough to grab her phone and start recording instead of just ducking?<br><br>Why isn’t Trump grabbing his ear and wincing in pain?,lady back comfortable enough grab phone start recording instead duckingbrbrwhy isnt trump grabbing ear wincing pain,Neutral,NEGATIVE
What actually hit trumps ear and when?  Who has seem a graze heal that fast?  No Bullet hole viable! where are the medical treatment report?  Why the coverup by trump?,actually hit trumps ear seem graze heal fast bullet hole viable medical treatment report coverup trump,Neutral,NEGATIVE
A little more to the right,little right,Neutral,POSITIVE
Trump really said am still standing !,trump really said still standing,Neutral,POSITIVE
Trump is the greatest man of all time,trump greatest man time,Positive,POSITIVE
"Im an independent whose pretty neutral going into this upcoming election but damn, that was badass and is the kind of spirit that made our nation great. A nearly 80 year old gets shot and stands up yelling a pumping his fist, what a moment!",im independent whose pretty neutral going upcoming election damn badass kind spirit made nation great nearly year old gets shot stands yelling pumping fist moment,Positive,NEGATIVE
Why is this so hard to find?<br>Election interference much?,hard findbrelection interference much,Negative,NEGATIVE
The guy missed his forehead 😂,guy missed forehead,Negative,NEGATIVE
NO DUCKING?    NO RUNNING?   FAKE,ducking running fake,Negative,NEGATIVE
The bullet that hit Donald trump must have disappeared in the tin air miraculously,bullet hit donald trump must disappeared tin air miraculously,Negative,NEGATIVE
“Let’s vote for some other guy” lol,lets vote guy lol,Positive,POSITIVE
My left testical  has better aim anyways I hope he’s doing better,left testical better aim anyways hope hes better,Positive,NEGATIVE
Y those shots sound fake af,shots sound fake af,Negative,NEGATIVE
Wasn’t he shot about 10 seconds after?  So wouldn’t that delay make sense?  I ain’t the smartest man in the world but from over here…,wasnt shot seconds wouldnt delay make sense aint smartest man world,Negative,POSITIVE
Gotta say it seemed scripted ash,got ta say seemed scripted ash,Neutral,NEGATIVE
Youtube is banning this vid so is all major media,youtube banning vid major media,Neutral,NEGATIVE
omg.  28 seconds...they paused for a photo op before moving a fully exposed donald off the stage. why was secret service not rushing donald out of there like they did with regan?,omg secondsthey paused photo op moving fully exposed donald stage secret service rushing donald like regan,Positive,NEGATIVE
Hollywood Avent premiere,hollywood avent premiere,Neutral,NEGATIVE
Noo way Johnny and gyro wtf,noo way johnny gyro wtf,Negative,NEGATIVE
Notice how he’s not holding his ear at all when he gets up??? Clearly didn’t get hit with anything 🤣🤣🤣,notice hes holding ear gets clearly didnt get hit anything,Positive,NEGATIVE
What a missed opportunity. 😂,missed opportunity,Positive,NEGATIVE
"if he didn&#39;t turn his head, he would&#39;ve been gone by now",didnt turn head wouldve gone,Neutral,NEGATIVE
I think the assassin guy hated trump,think assassin guy hated trump,Negative,NEGATIVE
"I watched it again, and cried again ✊✊✊ He&#39;s simply EPIC!! 🇺🇲❤️",watched cried hes simply epic,Negative,POSITIVE
Almost made America great again,almost made america great,Positive,POSITIVE
Brp equipped a supressor to his gun like they wont hear it 💀,brp equipped supressor gun like wont hear,Positive,POSITIVE
To die for the president is insane 😭,die president insane,Negative,NEGATIVE
Why is the original video so hard to find on YouTube? Why is it being suppressed?,original video hard find youtube suppressed,Positive,NEGATIVE
Movie name please?,movie name please,Positive,POSITIVE
"Bullet hits his ear, and the only part of him that moves is his hand. Just looks weird... I&#39;ve reacted more to a bug buzzing around my ear than this. I&#39;m sure most people have.",bullet hits ear part moves hand looks weird ive reacted bug buzzing around ear im sure people,Positive,NEGATIVE
America is good on making heros,america good making heros,Positive,POSITIVE
Oh I forgot about this.,oh forgot,Neutral,NEGATIVE
He got hit on his ear and he still alive and thanks to Jesus Christ for saving him<br>😇<br>🙏,got hit ear still alive thanks jesus christ saving himbrbr,Positive,POSITIVE
That pose if ever it has been taken a photo it could be a historical event in the society,pose ever taken photo could historical event society,Neutral,POSITIVE
Unagii,unagii,Neutral,NEGATIVE
Very shameful act.... God save the ex presidents😢😢😢😢😢😢😢😢😢😢,shameful act god save ex presidents,Positive,NEGATIVE
he starts moving his hand towards his ear before the second shot is fired.,starts moving hand towards ear second shot fired,Negative,NEGATIVE
How many shots did he get off?! Sounds like a full mag but no one other than trump was injured??,many shots get sounds like full mag one trump injured,Negative,NEGATIVE
I feel bad😢,feel bad,Negative,NEGATIVE
I&#39;m glad these conservatives are scared of weapons none screamed for more,im glad conservatives scared weapons none screamed,Negative,NEGATIVE
Omfg he still here 😂😂😂😂,omfg still,Neutral,NEGATIVE
Nah the fact that trump got shot before gta 6 is crazyy,nah fact trump got shot gta crazyy,Negative,NEGATIVE
Everything be happening before gta 6,everything happening gta,Neutral,POSITIVE
Hay mi oreja hay mi oreja😢,hay mi oreja hay mi oreja,Neutral,NEGATIVE
How was no one else not hit behind him?? Conspiracies..,one else hit behind conspiracies,Neutral,NEGATIVE
The universe split in two at that moment. In another timeline Trump was killed and another version of us is watching America burn.,universe split two moment another timeline trump killed another version us watching america burn,Negative,NEGATIVE
That kid really wanted Biden to win💀,kid really wanted biden win,Positive,POSITIVE
"We hear shots, he just stands there. <br>He smacks his ear, then looks at his unbloodied hand. Why did he smack his ear? <br>If a bullet grazed his ear, he should have hit the floor. <br>I know, my LEO friend has a 9mm bullet graze his ear and he heard it! And he dove to the ground. <br>If it was teleprompter shrapnel, he would have been bleeding immediately, as head wounds do that. <br>Many are saying he smacked a capsule of theatre blood taped to the back of his ear. Stupid boy, didn’t think to hide his bare bloodless hand from the cameras.",hear shots stands brhe smacks ear looks unbloodied hand smack ear brif bullet grazed ear hit floor bri know leo friend mm bullet graze ear heard dove ground brif teleprompter shrapnel would bleeding immediately head wounds brmany saying smacked capsule theatre blood taped back ear stupid boy didnt think hide bare bloodless hand cameras,Positive,NEGATIVE
"<a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=38"">0:38</a>",hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta,Neutral,NEGATIVE
"He did not deserve that Trump damn Trump that must been bad <a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=26"">0:26</a> <a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=33"">0:33</a>",deserve trump damn trump must bad hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta,Negative,NEGATIVE
"He did not deserve that Trump damn Trump that must been bad <a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=26"">0:26</a>",deserve trump damn trump must bad hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta,Negative,NEGATIVE
How normal people get shot: 😳😧😵<br><br>How Trump gets shot: 😳😵😐🤬🤬,normal people get shot brbrhow trump gets shot,Neutral,NEGATIVE
"Remember if he dont win, the Dmes rigged it fs.",remember dont win dmes rigged fs,Negative,NEGATIVE
RFK upon being shot:  Is everybody okay?  donald trump upon being shot:  Let me get my shoes.  How did his shoes fall off?,rfk upon shot everybody okay donald trump upon shot let get shoes shoes fall,Positive,NEGATIVE
Jojo reference?,jojo reference,Neutral,POSITIVE
Military assault rifles need to be banned!,military assault rifles need banned,Negative,NEGATIVE
"I didnt know they still made mentos, but here is Trump doing a mentos commercial.",didnt know still made mentos trump mentos commercial,Neutral,NEGATIVE
civilians shouldnt be allowed to own sniper rifles,civilians shouldnt allowed sniper rifles,Neutral,NEGATIVE
Its known that even though donald trump got shot in the ear another person who was near died because of the gun! (WHAT I HAVE HEARD),known even though donald trump got shot ear another person near died gun heard,Negative,NEGATIVE
I think guns should be banned,think guns banned,Negative,NEGATIVE
I love how the bodyguards didn&#39;t care about getting hurt just to shield Trump,love bodyguards didnt care getting hurt shield trump,Positive,NEGATIVE
"Per @FOXCarolinaNewsTV reported on July 21, on YouTube video, that Trump’s doctor stated Trump’s ear had a 2cm wound 1/4” from Trump’s head, which is consistent with the high-rez photo of Trump’s ear right after the assassination attempt. In addition, per the photo of Trump’s ear, it was clearly not a “graze”, but a penetrating wound.",per foxcarolinanewstv reported july youtube video trumps doctor stated trumps ear cm wound trumps head consistent highrez photo trumps ear right assassination attempt addition per photo trumps ear clearly graze penetrating wound,Negative,NEGATIVE
That first Simpson Prediction is False😂,first simpson prediction false,Neutral,NEGATIVE
Prayers to the people who got shot there😢😢,prayers people got shot,Neutral,NEGATIVE
Wait... behind him! Isn&#39;t that Mike Tyson???,wait behind isnt mike tyson,Neutral,NEGATIVE
Trying to take fame from Evander Holyfield,trying take fame evander holyfield,Positive,POSITIVE
Even if you hate the guy. You have to acknowledge. What a fricken badass,even hate guy acknowledge fricken badass,Negative,NEGATIVE
"Distinct gap it was after the shot something hit him, so obvious it’s shrapnel",distinct gap shot something hit obvious shrapnel,Neutral,NEGATIVE
"You know I don’t really like Trump, but I have to admit that was bad ass",know dont really like trump admit bad ass,Negative,NEGATIVE
ARE YOU okay?,okay,Positive,POSITIVE
IH MY GOODNESS,ih goodness,Positive,POSITIVE
OH MY GOD,oh god,Positive,NEGATIVE
Crooks stunk,crooks stunk,Negative,NEGATIVE
"So fake… if i was in the crowd and heard gunshots ill be gone, do you think I can still sit there smiling afterwards",fake crowd heard gunshots ill gone think still sit smiling afterwards,Negative,NEGATIVE
i replayed several times and i heard 10 shots,replayed several times heard shots,Neutral,NEGATIVE
This is literally the Homelander scene in real life.,literally homelander scene real life,Neutral,POSITIVE
Lucky he had shelids💀💀💀,lucky shelids,Positive,POSITIVE
Them Joe,joe,Neutral,POSITIVE
Did they yell &quot;DONALD DUCK&quot; 👀💥👂 CTFU!!!😂😂😂😂 HARRIS 2024!!!,yell quotdonald duckquot ctfu harris,Neutral,NEGATIVE
<b>JKF has entered the chat</b>,bjkf entered chatb,Neutral,NEGATIVE
Greatest president in our lifetime.,greatest president lifetime,Positive,POSITIVE
"The whole time they’re walking him off, he’s still vulnerable.  This secret service is awful.  I’m not for Trump or against him, but he doesn’t deserve to be shot.  He definitely deserves better protection than that as well.  We as a society, in what use to be the greatest country , need to stop worrying about republican, democrat, liberal, whatever.  We need to just start focusing on America becoming a country to be proud of.  We have let this country get divided so much because we were made to treat voting as a game of who can win and win by any means necessary.  All parties have resulted in low tactics, lies, and it’s caused us to have more hate and division than anything.  Watching presidential debates and rallies is more similar to day time trash tv than it is similar to anything respectable.",whole time theyre walking hes still vulnerable secret service awful im trump doesnt deserve shot definitely deserves better protection well society use greatest country need stop worrying republican democrat liberal whatever need start focusing america becoming country proud let country get divided much made treat voting game win win means necessary parties resulted low tactics lies caused us hate division anything watching presidential debates rallies similar day time trash tv similar anything respectable,Positive,NEGATIVE
Bro tried to recreate 1963💀,bro tried recreate,Neutral,POSITIVE
Why did then clip 😮😮😮😮😮,clip,Neutral,NEGATIVE
He took that better than me in an exam,took better exam,Positive,NEGATIVE
Great quick response of Trump ducking.,great quick response trump ducking,Positive,POSITIVE
Smart duck. Donald,smart duck donald,Positive,POSITIVE
That was definitely god intervening.,definitely god intervening,Positive,POSITIVE
Man’s a horrible shot how did you fire so much and didn’t even get a guard,mans horrible shot fire much didnt even get guard,Negative,NEGATIVE
I feel so bad for him 😢😢😢,feel bad,Negative,NEGATIVE
No one gonna talk about the people laughing in the front or back,one gon na talk people laughing front back,Positive,POSITIVE
Trumps a beast,trumps beast,Neutral,POSITIVE
It didn&#39;t even sound like a real gun going off,didnt even sound like real gun going,Negative,NEGATIVE
WWE STYLEE,wwe stylee,Neutral,POSITIVE
"<a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=1"">0:01</a>",hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta,Neutral,NEGATIVE
AS much as things were blundered HATS off and RESPECT to those that came into protect him! there were 2 guys covering after the 1st shot went off!,much things blundered hats respect came protect guys covering st shot went,Positive,NEGATIVE
girl at the back was smiling after trump got shot,girl back smiling trump got shot,Positive,NEGATIVE
That man should buy a lotto ticket if he got that lucky,man buy lotto ticket got lucky,Positive,POSITIVE
He took out the german salute,took german salute,Neutral,POSITIVE
😮😮😮,,Neutral,Neutral
Mark Zuckerberg: &quot; Seeing Trump fist pumping infront of an American flag after just being shot in the face is the most bad-ass thing I&#39;ve ever seen in my life &quot;<br><br>True statement.,mark zuckerberg quot seeing trump fist pumping infront american flag shot face badass thing ive ever seen life quotbrbrtrue statement,Negative,NEGATIVE
"Deep state, CIA messed it up big time 😂😂😂",deep state cia messed big time,Negative,NEGATIVE
The Secret Service acting like they&#39;ve never trained for exactly this.,secret service acting like theyve never trained exactly,Positive,NEGATIVE
Trump is more immortal than Queen Elizabeth,trump immortal queen elizabeth,Positive,POSITIVE
NOW HE KNOWS HOW EVANDER HOLYFIELD FELT😂😂😂,knows evander holyfield felt,Neutral,POSITIVE
This shit is a jojo reference 😭☠️,shit jojo reference,Negative,NEGATIVE
how he fire 8 times still miss and get emoted on 😨,fire times still miss get emoted,Negative,NEGATIVE
Blud had storm trooper aim 💀,blud storm trooper aim,Neutral,NEGATIVE
where else did that bullet go?,else bullet go,Neutral,NEGATIVE
What an American bad ass omg !,american bad ass omg,Negative,NEGATIVE
Bro was like: awhq shit I missed unload all bullets,bro like awhq shit missed unload bullets,Negative,NEGATIVE
Trump Gets Shot Before Gta 6,trump gets shot gta,Neutral,NEGATIVE
And to think Matt Stone and Trey Parker almost had to kill off Mr. Garrison 😢😂,think matt stone trey parker almost kill mr garrison,Negative,NEGATIVE
Wow. It was like Peter who got hit in the ear,wow like peter got hit ear,Positive,POSITIVE
"At <a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=5"">0:05</a>, was the girl with the red cap smiling ?",hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta girl red cap smiling,Positive,POSITIVE
AHHHHH HAHAHAHAHAHAHAHAHAHA SERVES YOU RIGHT🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓,ahhhhh hahahahahahahahahaha serves right,Neutral,POSITIVE
The Guy Saying: YEEEEE At 15 Secs,guy saying yeeeee secs,Neutral,NEGATIVE
Is there someone behind him?,someone behind,Neutral,NEGATIVE
SAD,sad,Negative,NEGATIVE
"According to the close-up photos of Trump’s injured ears, his ears actually maintained their shape intact, but there were no bullet holes or any cracks in the ear shell caused by the gunshot. Isn’t this too suspicious?We argue that while presidential candidates have the right to medical privacy, the public nature and importance of the presidency generates a moral requirement that candidates waive those rights in certain circumstances. Specifically, candidates are required to disclose information about medical conditions that are likely to seriously undermine their ability to fulfill what we call the &quot;core functions&quot; of the office of the presidency. This requirement exists because (1) people have the right to be governed only with their consent, (2) people&#39;s consent is meaningful only when they have access to information necessary for making informed voting decisions, (3) such information is necessary for making informed voting decisions, and (4) there are no countervailing reasons sufficiently strong to override this right. We also investigate alternative mechanisms for legally encouraging or requiring disclosure. Protecting the public&#39;s right to this information is of particular importance because of the documented history of deception and secrecy regarding the health of presidents and presidential candidates.",according closeup photos trumps injured ears ears actually maintained shape intact bullet holes cracks ear shell caused gunshot isnt suspiciouswe argue presidential candidates right medical privacy public nature importance presidency generates moral requirement candidates waive rights certain circumstances specifically candidates required disclose information medical conditions likely seriously undermine ability fulfill call quotcore functionsquot office presidency requirement exists people right governed consent peoples consent meaningful access information necessary making informed voting decisions information necessary making informed voting decisions countervailing reasons sufficiently strong override right also investigate alternative mechanisms legally encouraging requiring disclosure protecting publics right information particular importance documented history deception secrecy regarding health presidents presidential candidates,Positive,NEGATIVE
Thats why u shouldnt allow guns in America trump,thats u shouldnt allow guns america trump,Negative,NEGATIVE
"Bro, this is scripted as the man sitting right behind the trump is holding a banner where he says You&#39;re fired!!! How he already knew he&#39;s been fired and bought that banner from the home? grow up🤣",bro scripted man sitting right behind trump holding banner says youre fired already knew hes fired bought banner home grow,Negative,NEGATIVE
Why is everybody celebrating,everybody celebrating,Positive,POSITIVE
Why is everybody celebrating,everybody celebrating,Positive,POSITIVE
Can’t believe this happened before gta6<br><br><br><br><br><br><br><br><br><br>This is my most liked comment 😁 thx guys except for @Deionburns114 that guy probably smells bad,cant believe happened gtabrbrbrbrbrbrbrbrbrbrthis liked comment thx guys except deionburns guy probably smells bad,Positive,NEGATIVE
why is it filmed with such bad quality and why is nobody talking about that?? I dont understand,filmed bad quality nobody talking dont understand,Negative,NEGATIVE
Is he alive,alive,Positive,POSITIVE
I’m trying not to laugh at this because this is serious 😡😡😡😡,im trying laugh serious,Positive,POSITIVE
"finally i saw the video. i can&#39;t believe this happened, good thing he survived",finally saw video cant believe happened good thing survived,Positive,POSITIVE
How was he hit  on his right ear. when his head was  turned  2 the  right? Im just asking?,hit right ear head turned right im asking,Neutral,NEGATIVE
"the security beside yelled “DONALD DUCK” as in “DONALD, DUCK!”",security beside yelled donald duck donald duck,Positive,POSITIVE
"Unreal, can’t believe that I witnessed this, in America, in my life time now.",unreal cant believe witnessed america life time,Neutral,NEGATIVE
why is mrbeast bleeding,mrbeast bleeding,Neutral,NEGATIVE
im still terrified about the case.,im still terrified case,Negative,NEGATIVE
Dang,dang,Neutral,NEGATIVE
lol the poster behind him that says you&#39;re fired!,lol poster behind says youre fired,Negative,NEGATIVE
CNN serves the globalist elites.,cnn serves globalist elites,Neutral,POSITIVE
Where’s hawkeye?,wheres hawkeye,Neutral,POSITIVE
Very sad to see this. Thank God the rest of them are safe.,sad see thank god rest safe,Positive,POSITIVE
Drumpf: The Crisis Actor!,drumpf crisis actor,Negative,NEGATIVE
Viravil aliji poganum ISRAIL AND USA..TIRUTO TAU×××KITY,viravil aliji poganum israil usatiruto taukity,Neutral,NEGATIVE
You&#39;ve just witnessed a US President getting elected in less than 10 seconds.,youve witnessed us president getting elected less seconds,Neutral,NEGATIVE
"Trump Rally Shooting: A Timeline <a href=""https://www.youtube.com/watch?v=h-puuBzYoSs"">https://youtu.be/h-puuBzYoSs</a><br>Follow The Straits Times on YouTube: <a href=""https://str.sg/ytsub"">https://str.sg/ytsub</a>",trump rally shooting timeline hrefhttpswwwyoutubecomwatchvhpuubzyosshttpsyoutubehpuubzyossabrfollow straits times youtube hrefhttpsstrsgytsubhttpsstrsgytsuba,Neutral,NEGATIVE
